T1,T2,pseudoF,pval,False_Discovery_Rate
CC027_Egg,C3H_Peanut,7.409915115083098,1.2999870001299986e-4,0.005849941500584994
CC027_Egg,C3H_PBS,7.087712041140776,0.0011899881001189987,0.026099739002609975
CC027_Milk,C3H_Peanut,5.099230583798535,0.0017399826001739983,0.026099739002609975
CC027_Egg,CC027_Milk,6.086685064779285,0.002999970000299997,0.033749662503374966
CC027_Egg,CC027_Peanut,4.034465866999645,0.00935990640093599,0.06981358757840993
CC027_Egg,C3H_Egg,4.294960664619671,0.01016989830101699,0.06981358757840993
CC027_Egg,C3H_Milk,4.276859397473703,0.010859891401085989,0.06981358757840993
CC027_Milk,C3H_Walnut,3.890441768310365,0.014669853301466985,0.08251792482075179
CC027_Peanut,CC027_Milk,2.9408045511107375,0.016809831901680984,0.08404915950840491
CC027_PBS,CC027_Egg,3.6626884377411044,0.019589804101958982,0.08815411845881542
CC027_PBS,C3H_Peanut,2.6635926178803935,0.022579774202257978,0.09237180355469173
C3H_Peanut,C3H_Walnut,3.1980572017154656,0.02992970070299297,0.11223637763622364
CC027_Egg,C3H_Walnut,3.1728053631653945,0.03505964940350596,0.12136032485828988
CC027_Milk,C3H_Egg,2.1866587320635182,0.040969590304096956,0.13168796883459735
C3H_PBS,C3H_Walnut,3.15235683801889,0.05029949700502995,0.15089849101508984
CC027_PBS,C3H_PBS,2.390655767853719,0.05974940250597494,0.16804519454805453
CC027_Peanut,C3H_PBS,2.2053754079457923,0.06444935550644494,0.17060123516411896
CC027_Egg,CC027_Walnut,2.7493068106658907,0.07170928290717093,0.17927320726792734
CC027_Milk,C3H_PBS,2.0804010712795904,0.07910920890791093,0.1866356336436636
C3H_Peanut,C3H_Milk,2.0128441938203725,0.08294917050829492,0.1866356336436636
CC027_Peanut,C3H_Peanut,1.8506973549704635,0.0940790592094079,0.20159798402015977
CC027_Walnut,C3H_PBS,2.224238280588299,0.1008489915100849,0.20628202808881002
CC027_Peanut,C3H_Milk,1.6605086095547608,0.13445865541344587,0.26307128233065497
CC027_Walnut,C3H_Peanut,1.9511583337196505,0.14589854101458985,0.27355976440235596
CC027_PBS,CC027_Milk,1.5330516528371911,0.20714792852071479,0.3450340496595034
C3H_PBS,C3H_Milk,1.4648583848361147,0.2081279187208128,0.3450340496595034
CC027_PBS,CC027_Peanut,1.4610926056709952,0.21071789282107178,0.3450340496595034
CC027_PBS,C3H_Milk,1.4292757584351594,0.2146878531214688,0.3450340496595034
C3H_Walnut,C3H_Milk,1.4199169642059055,0.23360766392336077,0.3624946509155598
C3H_Egg,C3H_Milk,1.2387745669073955,0.2783072169278307,0.4174608253917461
CC027_Walnut,CC027_Milk,1.0002188062693362,0.33147668523314766,0.46980936440635596
C3H_PBS,C3H_Egg,1.1074904923669315,0.3340866591334087,0.46980936440635596
C3H_PBS,C3H_Peanut,1.0682389667486005,0.3853661463385366,0.5100323996760032
CC027_Milk,C3H_Milk,1.0254194325840011,0.4021659783402166,0.5100323996760032
CC027_PBS,C3H_Egg,1.0237121590398417,0.4028859711402886,0.5100323996760032
C3H_Egg,C3H_Peanut,0.9882487769138393,0.4080259197408026,0.5100323996760032
CC027_Walnut,C3H_Milk,0.7736086598356875,0.45754542454575453,0.5564741649880799
CC027_Walnut,C3H_Egg,0.6957961171704404,0.4823651763482365,0.5712219193597537
CC027_Peanut,CC027_Walnut,0.6642089436613045,0.5371746282537174,0.6071226787732122
CC027_Peanut,C3H_Walnut,0.8425011615518275,0.5396646033539665,0.6071226787732122
CC027_PBS,C3H_Walnut,0.787709490735024,0.5707142928570714,0.6263937360626394
C3H_Egg,C3H_Walnut,0.7393137290336681,0.6020939790602094,0.6451006918502243
CC027_PBS,CC027_Walnut,0.41477449736533867,0.6324836751632483,0.6619015205196785
CC027_Peanut,C3H_Egg,0.5550805860092255,0.7924920750792492,0.8073019269807302
CC027_Walnut,C3H_Walnut,0.2843707180586975,0.8073019269807302,0.8073019269807302
